,discriminative_pattern_len,discriminative_pattern_position,stis_series_len,entities_num,symbols_num,level,kernel_sizes,global_pool,depth,epoch,train_loss,val_loss
0,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,1,0.7502,0.7582
1,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,2,0.4704,0.4953
2,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,3,0.2103,0.2248
3,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,4,0.07200000000000001,0.1064
4,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,5,0.0388,0.0889
5,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,6,0.0235,0.0693
6,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,7,0.0133,0.0602
7,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,8,0.0103,0.0556
8,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,9,0.006,0.0513
9,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,10,0.0038,0.0516
10,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,11,0.003,0.0521
11,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,12,0.0022,0.0535
12,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,13,0.0018,0.0493
13,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,14,0.0016,0.047
14,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,15,0.0013,0.0466
15,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,16,0.0011,0.0478
16,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,17,0.00094033,0.0488
17,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,18,0.00076913,0.0499
18,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,19,0.00065253,0.0467
19,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,20,0.00062809,0.0479
20,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,21,0.00051887,0.0481
21,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,22,0.00044467,0.0467
22,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,23,0.00042957,0.0458
23,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,24,0.00037243,0.0486
24,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,25,0.00031549999999999997,0.0481
25,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,26,0.00033264,0.0464
26,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,27,0.00029581,0.0463
27,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,28,0.00027143,0.0485
28,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,29,0.00025309,0.0464
29,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,30,0.0002144,0.0469
30,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,31,0.00021525,0.0475
31,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,32,0.00021135,0.0468
32,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,33,0.00017099,0.0471
33,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,34,0.00019462,0.0463
34,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,35,0.00016653,0.0471
35,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,36,0.00014336,0.047
36,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,37,0.00014461,0.0453
37,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,38,0.00012622,0.0477
38,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,39,0.00015688,0.0458
