,discriminative_pattern_len,discriminative_pattern_position,stis_series_len,entities_num,symbols_num,level,kernel_sizes,global_pool,depth,train_accuracy,train_AUC,test_accuracy,test_AUC,best_train_accuracy,overfit_score,Unnamed: 0.1
0,[0.25],"[0.1, 0.65]",128,1024,8,0,[20],False,1,1.0,1.0,1.0,1.0,1.0,0.0,
1,[0.25],"[0.1, 0.65]",128,1024,8,0,[20],True,1,0.8037109375,0.8052062508584248,0.720703125,0.7188644688644689,0.8163,0.09559687500000004,
2,[0.25],"[0.1, 0.65]",128,1024,8,0,[20],False,2,1.0,1.0,1.0,1.0,1.0,0.0,
3,[0.25],"[0.1, 0.65]",128,1024,8,0,[20],True,2,1.0,1.0,1.0,1.0,1.0,0.0,
4,[0.25],"[0.1, 0.65]",128,1024,8,0,[20],False,3,1.0,1.0,1.0,1.0,1.0,0.0,
5,[0.25],"[0.1, 0.65]",128,1024,8,0,[20],True,3,1.0,1.0,1.0,1.0,1.0,0.0,
6,[0.25],"[0.1, 0.65]",128,1024,8,0,[20],False,4,1.0,1.0,1.0,1.0,1.0,0.0,
7,[0.25],"[0.1, 0.65]",128,1024,8,0,[20],True,4,1.0,1.0,1.0,1.0,1.0,0.0,
8,[0.25],"[0.1, 0.65]",128,1024,8,0,[20],False,5,1.0,1.0,1.0,1.0,1.0,0.0,
9,[0.25],"[0.1, 0.65]",128,1024,8,0,[20],True,5,1.0,1.0,1.0,1.0,1.0,0.0,
10,[0.25],"[0.1, 0.65]",128,1024,8,0,[20],False,7,1.0,1.0,1.0,1.0,1.0,0.0,
11,[0.25],"[0.1, 0.65]",128,1024,8,0,[20],True,7,0.9990234375,0.9990347490347492,1.0,1.0,1.0,0.0,
12,[0.25],"[0.1, 0.65]",128,1024,8,0,[20],False,10,1.0,1.0,1.0,1.0,1.0,0.0,
13,[0.25],"[0.1, 0.65]",128,1024,8,0,[20],True,10,1.0,1.0,1.0,1.0,1.0,0.0,
14,[0.25],"[0.1, 0.65]",256,1024,8,0,[20],False,1,1.0,1.0,1.0,1.0,1.0,0.0,
15,[0.25],"[0.1, 0.65]",256,1024,8,0,[20],True,1,0.5283203125,0.5271520146520147,0.513671875,0.5138073494237878,0.6493,0.135628125,
16,[0.25],"[0.1, 0.65]",256,1024,8,0,[20],False,2,1.0,1.0,1.0,1.0,1.0,0.0,
17,[0.25],"[0.1, 0.65]",256,1024,8,0,[20],True,2,0.99609375,0.9961233211233212,0.5703125,0.5702383813414815,0.9956,0.4252875,
18,[0.25],"[0.1, 0.65]",256,1024,8,0,[20],False,3,1.0,1.0,1.0,1.0,1.0,0.0,
