,discriminative_pattern_len,discriminative_pattern_position,stis_series_len,entities_num,symbols_num,level,kernel_sizes,global_pool,depth,train_accuracy,train_AUC,test_accuracy,test_AUC
0,[0.25],"[0.1, 0.65]",128,1024,8,1,[20],False,1,1.0,1.0,0.9970703125,0.9970644896713526
1,[0.25],"[0.1, 0.65]",128,1024,8,1,[20],True,1,0.533203125,0.5354968181055137,0.51171875,0.5128006561504568
2,[0.25],"[0.1, 0.65]",128,1024,8,1,[20],False,2,1.0,1.0,0.98046875,0.9804566349400121
3,[0.25],"[0.1, 0.65]",128,1024,8,1,[20],True,2,0.712890625,0.7094861660079052,0.537109375,0.5351822534190398
4,[0.25],"[0.1, 0.65]",128,1024,8,1,[20],False,3,1.0,1.0,0.978515625,0.9785492208213324
5,[0.25],"[0.1, 0.65]",128,1024,8,1,[20],True,3,1.0,1.0,0.5078125,0.5068342647872279
6,[0.25],"[0.1, 0.65]",128,1024,8,1,[20],False,4,1.0,1.0,0.9755859375,0.9755564880691248
7,[0.25],"[0.1, 0.65]",128,1024,8,1,[20],True,4,0.9423828125,0.941699604743083,0.5126953125,0.5103839624620902
8,[0.25],"[0.1, 0.65]",128,1024,8,1,[20],False,5,1.0,1.0,0.9765625,0.9765960287638048
9,[0.25],"[0.1, 0.65]",128,1024,8,1,[20],True,5,0.9951171875,0.9950592885375492,0.9658203125,0.965687527419078
10,[0.25],"[0.1, 0.65]",128,1024,8,1,[20],False,7,1.0,1.0,0.9580078125,0.9580922043984972
11,[0.25],"[0.1, 0.65]",128,1024,8,1,[20],True,7,1.0,1.0,0.9775390625,0.9776355694584852
12,[0.25],"[0.1, 0.65]",128,1024,8,1,[20],False,10,1.0,1.0,0.947265625,0.9473897037785872
13,[0.25],"[0.1, 0.65]",128,1024,8,1,[20],True,10,1.0,1.0,0.974609375,0.9745856142827172
14,[0.25],"[0.1, 0.65]",256,1024,8,1,[20],False,1,1.0,1.0,0.98828125,0.9882432850116192
15,[0.25],"[0.1, 0.65]",256,1024,8,1,[20],True,1,0.57421875,0.5687423687423687,0.5283203125,0.5217352316046141
16,[0.25],"[0.1, 0.65]",256,1024,8,1,[20],False,2,1.0,1.0,0.9912109375,0.9912597352545
17,[0.25],"[0.1, 0.65]",256,1024,8,1,[20],True,2,0.662109375,0.6608363858363858,0.5205078125,0.5193808359058699
18,[0.25],"[0.1, 0.65]",256,1024,8,1,[20],False,3,0.998046875,0.998015873015873,0.990234375,0.9901626708081644
19,[0.25],"[0.1, 0.65]",256,1024,8,1,[20],True,3,0.9326171875,0.9315476190476192,0.521484375,0.5150173813167063
20,[0.25],"[0.1, 0.65]",256,1024,8,1,[20],False,4,1.0,1.0,0.9912109375,0.9911567065934528
21,[0.25],"[0.1, 0.65]",256,1024,8,1,[20],True,4,1.0,1.0,0.5322265625,0.5332324670022093
22,[0.25],"[0.1, 0.65]",256,1024,8,1,[20],False,5,1.0,1.0,0.9794921875,0.9793313058310406
23,[0.25],"[0.1, 0.65]",256,1024,8,1,[20],True,5,1.0,1.0,0.52734375,0.522801769040269
24,[0.25],"[0.1, 0.65]",256,1024,8,1,[20],False,7,1.0,1.0,0.986328125,0.9862895563280584
25,[0.25],"[0.1, 0.65]",256,1024,8,1,[20],True,7,0.998046875,0.998015873015873,0.515625,0.5093965954751338
26,[0.25],"[0.1, 0.65]",256,1024,8,1,[20],False,10,1.0,1.0,0.866211,0.866266
27,[0.25],"[0.1, 0.65]",256,1024,8,1,[20],True,10,1.0,1.0,0.5166015625,0.5099785166162335
28,[0.25],"[0.1, 0.65]",512,1024,8,1,[20],False,1,1.0,1.0,0.8662109375,0.8662657404546373
29,[0.25],"[0.1, 0.65]",512,1024,8,1,[20],True,1,0.5517578125,0.5371598239516058,0.5166015625,0.5172157944328096
30,[0.25],"[0.1, 0.65]",512,1024,8,1,[20],False,2,1.0,1.0,0.9921875,0.9921950996211992
31,[0.25],"[0.1, 0.65]",512,1024,8,1,[20],True,2,0.6494140625,0.6314168377823408,0.51171875,0.5125103474058053
32,[0.25],"[0.1, 0.65]",512,1024,8,1,[20],False,3,1.0,1.0,0.9853515625,0.9853572286881588
33,[0.25],"[0.1, 0.65]",512,1024,8,1,[20],True,3,0.896484375,0.900156393990494,0.5244140625,0.5242806407189968
34,[0.25],"[0.1, 0.65]",512,1024,8,1,[20],False,4,1.0,1.0,0.98828125,0.988281205296346
35,[0.25],"[0.1, 0.65]",512,1024,8,1,[20],True,4,1.0,1.0,0.5322265625,0.532188538316873
36,[0.25],"[0.1, 0.65]",512,1024,8,1,[20],False,5,1.0,1.0,0.986328125,0.9863280728457368
37,[0.25],"[0.1, 0.65]",512,1024,8,1,[20],True,5,1.0,1.0,0.54296875,0.5428144180847858
38,[0.25],"[0.1, 0.65]",512,1024,8,1,[20],False,7,1.0,1.0,0.982421875,0.982429437368154
39,[0.25],"[0.1, 0.65]",512,1024,8,1,[20],True,7,1.0,1.0,0.5322265625,0.5323067943832183
40,[0.25],"[0.1, 0.65]",512,1024,8,1,[20],False,10,1.0,1.0,0.8515625,0.85158482202462
41,[0.25],"[0.1, 0.65]",512,1024,8,1,[20],True,10,0.755859375,0.7672253258845437,0.5205078125,0.519779280774234
42,[0.25],"[0.1, 0.65]",1024,1024,8,1,[20],False,1,1.0,1.0,0.6396484375,0.6396086060883497
43,[0.25],"[0.1, 0.65]",1024,1024,8,1,[20],True,1,0.5302734375,0.5198721252027865,0.51953125,0.5179598687724117
44,[0.25],"[0.1, 0.65]",1024,1024,8,1,[20],False,2,1.0,1.0,0.8388671875,0.8388532845044633
45,[0.25],"[0.1, 0.65]",1024,1024,8,1,[20],True,2,0.7177734375,0.7107682030728124,0.5224609375,0.5213054093232624
46,[0.25],"[0.1, 0.65]",1024,1024,8,1,[20],False,3,1.0,1.0,0.990234375,0.9902418554970628
47,[0.25],"[0.1, 0.65]",1024,1024,8,1,[20],True,3,0.7802734375,0.7763851512548908,0.5390625,0.5383306630045015
48,[0.25],"[0.1, 0.65]",1024,1024,8,1,[20],False,4,1.0,1.0,0.9921875,0.9921873807888916
49,[0.25],"[0.1, 0.65]",1024,1024,8,1,[20],True,4,0.8408203125,0.8377154308617234,0.5322265625,0.5315213244831007
50,[0.25],"[0.1, 0.65]",1024,1024,8,1,[20],False,5,1.0,1.0,0.9833984375,0.9833791103990236
51,[0.25],"[0.1, 0.65]",1024,1024,8,1,[20],True,5,0.5693359375,0.5581162324649298,0.505859375,0.5039368276493477
52,[0.25],"[0.1, 0.65]",1024,1024,8,1,[20],False,7,1.0,1.0,0.9833984375,0.9834019989318684
53,[0.25],"[0.1, 0.65]",1024,1024,8,1,[20],True,7,1.0,1.0,0.546875,0.5468757152666515
54,[0.25],"[0.1, 0.65]",1024,1024,8,1,[20],False,10,1.0,1.0,0.72640625,0.7263385976958877
55,[0.25],"[0.1, 0.65]",1024,1024,8,1,[20],True,10,0.5400390625,0.528105735280084,0.505859375,0.5039673456931411
56,[0.25],"[0.1, 0.65]",2048,1024,8,1,[20],False,1,1.0,1.0,0.5146484375,0.5127138542831944
57,[0.25],"[0.1, 0.65]",2048,1024,8,1,[20],True,1,0.505859375,0.5029583992980716,0.5185546875,0.5040814144831035
58,[0.25],"[0.1, 0.65]",2048,1024,8,1,[20],False,2,1.0,1.0,0.5517578125,0.551458657065734
59,[0.25],"[0.1, 0.65]",2048,1024,8,1,[20],True,2,0.5126953125,0.5098231827111984,0.5166015625,0.5021838812762724
60,[0.25],"[0.1, 0.65]",2048,1024,8,1,[20],False,3,1.0,1.0,0.859375,0.8599414322748635
61,[0.25],"[0.1, 0.65]",2048,1024,8,1,[20],True,3,0.5439453125,0.5412573673870333,0.5224609375,0.5083346378078719
62,[0.25],"[0.1, 0.65]",2048,1024,8,1,[20],False,4,1.0,1.0,0.866211,0.866266
63,[0.25],"[0.1, 0.65]",2048,1024,8,1,[20],True,4,0.7353515625,0.7337917485265226,0.517578125,0.5041635009296767
64,[0.25],"[0.1, 0.65]",2048,1024,8,1,[20],False,5,1.0,1.0,0.943359375,0.9434825270408028
65,[0.25],"[0.1, 0.65]",2048,1024,8,1,[20],True,5,1.0,1.0,0.521484375,0.5134564502766122
66,[0.25],"[0.1, 0.65]",2048,1024,8,1,[20],False,7,1.0,1.0,0.904296875,0.9040428529430854
67,[0.25],"[0.1, 0.65]",2048,1024,8,1,[20],True,7,1.0,1.0,0.5185546875,0.5163371118551918
68,[0.25],"[0.1, 0.65]",2048,1024,8,1,[20],False,10,1.0,1.0,0.70296875,0.7031488360905471
69,[0.25],"[0.1, 0.65]",2048,1024,8,1,[20],True,10,1.0,1.0,0.5390625,0.527441689988126
