,discriminative_pattern_len,discriminative_pattern_position,stis_series_len,entities_num,symbols_num,level,kernel_sizes,global_pool,depth,train_accuracy,train_AUC,test_accuracy,test_AUC
0,[0.25],"[0.1, 0.65]",128,1024,8,0,[5],False,3,1.0,1.0,1.0,1.0
1,[0.25],"[0.1, 0.65]",128,1024,8,0,[5],True,3,0.521484375,0.526569200482244,0.5224609375,0.515583028083028
2,[0.25],"[0.1, 0.65]",128,1024,8,0,[10],False,3,1.0,1.0,1.0,1.0
3,[0.25],"[0.1, 0.65]",128,1024,8,0,[10],True,3,1.0,1.0,1.0,1.0
4,[0.25],"[0.1, 0.65]",128,1024,8,0,[20],False,3,1.0,1.0,1.0,1.0
5,[0.25],"[0.1, 0.65]",128,1024,8,0,[20],True,3,1.0,1.0,1.0,1.0
6,[0.25],"[0.1, 0.65]",128,1024,8,0,[30],False,3,1.0,1.0,1.0,1.0
7,[0.25],"[0.1, 0.65]",128,1024,8,0,[30],True,3,1.0,1.0,1.0,1.0
8,[0.25],"[0.1, 0.65]",128,1024,8,0,[40],False,3,1.0,1.0,1.0,1.0
9,[0.25],"[0.1, 0.65]",128,1024,8,0,[40],True,3,1.0,1.0,1.0,1.0
10,[0.25],"[0.1, 0.65]",128,1024,8,0,[60],False,3,1.0,1.0,1.0,1.0
11,[0.25],"[0.1, 0.65]",128,1024,8,0,[60],True,3,1.0,1.0,1.0,1.0
12,[0.25],"[0.1, 0.65]",128,1024,8,0,[80],False,3,1.0,1.0,1.0,1.0
13,[0.25],"[0.1, 0.65]",128,1024,8,0,[80],True,3,1.0,1.0,1.0,1.0
14,[0.25],"[0.1, 0.65]",128,1024,8,0,[100],False,3,1.0,1.0,1.0,1.0
15,[0.25],"[0.1, 0.65]",128,1024,8,0,[100],True,3,1.0,1.0,1.0,1.0
16,[0.25],"[0.1, 0.65]",256,1024,8,0,[5],False,3,1.0,1.0,1.0,1.0
17,[0.25],"[0.1, 0.65]",256,1024,8,0,[5],True,3,0.53125,0.5363858363858365,0.51953125,0.5188503984466494
18,[0.25],"[0.1, 0.65]",256,1024,8,0,[10],False,3,1.0,1.0,1.0,1.0
19,[0.25],"[0.1, 0.65]",256,1024,8,0,[10],True,3,1.0,1.0,0.525390625,0.5248814578302683
20,[0.25],"[0.1, 0.65]",256,1024,8,0,[20],False,3,1.0,1.0,1.0,1.0
21,[0.25],"[0.1, 0.65]",256,1024,8,0,[20],True,3,1.0,1.0,1.0,1.0
22,[0.25],"[0.1, 0.65]",256,1024,8,0,[30],False,3,1.0,1.0,1.0,1.0
23,[0.25],"[0.1, 0.65]",256,1024,8,0,[30],True,3,1.0,1.0,1.0,1.0
24,[0.25],"[0.1, 0.65]",256,1024,8,0,[40],False,3,1.0,1.0,1.0,1.0
25,[0.25],"[0.1, 0.65]",256,1024,8,0,[40],True,3,1.0,1.0,1.0,1.0
26,[0.25],"[0.1, 0.65]",256,1024,8,0,[60],False,3,1.0,1.0,1.0,1.0
27,[0.25],"[0.1, 0.65]",256,1024,8,0,[60],True,3,1.0,1.0,1.0,1.0
28,[0.25],"[0.1, 0.65]",256,1024,8,0,[80],False,3,1.0,1.0,1.0,1.0
29,[0.25],"[0.1, 0.65]",256,1024,8,0,[80],True,3,1.0,1.0,1.0,1.0
30,[0.25],"[0.1, 0.65]",256,1024,8,0,[100],False,3,1.0,1.0,1.0,1.0
31,[0.25],"[0.1, 0.65]",256,1024,8,0,[100],True,3,1.0,1.0,1.0,1.0
32,[0.25],"[0.1, 0.65]",512,1024,8,0,[5],False,3,1.0,1.0,1.0,1.0
33,[0.25],"[0.1, 0.65]",512,1024,8,0,[5],True,3,0.6845703125,0.6736355675878235,0.525390625,0.5301323441864725
34,[0.25],"[0.1, 0.65]",512,1024,8,0,[10],False,3,1.0,1.0,1.0,1.0
35,[0.25],"[0.1, 0.65]",512,1024,8,0,[10],True,3,0.9150390625,0.9189944134078212,0.5322265625,0.5268008426065852
36,[0.25],"[0.1, 0.65]",512,1024,8,0,[20],False,3,1.0,1.0,1.0,1.0
37,[0.25],"[0.1, 0.65]",512,1024,8,0,[20],True,3,1.0,1.0,0.53515625,0.5322693898734564
38,[0.25],"[0.1, 0.65]",512,1024,8,0,[30],False,3,1.0,1.0,1.0,1.0
39,[0.25],"[0.1, 0.65]",512,1024,8,0,[30],True,3,1.0,1.0,0.619140625,0.6186136679336294
40,[0.25],"[0.1, 0.65]",512,1024,8,0,[40],False,3,1.0,1.0,1.0,1.0
41,[0.25],"[0.1, 0.65]",512,1024,8,0,[40],True,3,1.0,1.0,1.0,1.0
42,[0.25],"[0.1, 0.65]",512,1024,8,0,[60],False,3,1.0,1.0,1.0,1.0
43,[0.25],"[0.1, 0.65]",512,1024,8,0,[60],True,3,1.0,1.0,1.0,1.0
