,dataset,kernel_sizes,depth,use_residual,bottleneck_size,num_classifiers,number_of_filters,test_accuracy,test_AUC
0,auslan2,"[20, 30, 40]",1,False,-1.0,3,8,0.6000000000000001,0.8611111111111112
1,auslan2,"[20, 30, 40]",2,False,-1.0,3,8,0.675,0.9065586419753086
2,auslan2,"[20, 30, 40]",3,False,-1.0,3,8,0.675,0.9328703703703703
3,auslan2,"[20, 30, 40]",4,False,-1.0,3,8,0.65,0.901235
4,auslan2,"[20, 30, 40]",5,False,-1.0,3,8,0.625,0.9006940000000001
5,auslan2,"[20, 30, 40]",6,False,-1.0,3,8,0.625,0.8802469999999999
6,blocks,"[20, 30, 40]",1,False,-1.0,3,8,1.0,1.0
7,blocks,"[20, 30, 40]",2,False,-1.0,3,8,1.0,1.0
8,blocks,"[20, 30, 40]",3,False,-1.0,3,8,1.0,1.0
9,blocks,"[20, 30, 40]",4,False,-1.0,3,8,1.0,1.0
10,blocks,"[20, 30, 40]",5,False,-1.0,3,8,1.0,1.0
11,blocks,"[20, 30, 40]",6,False,-1.0,3,8,1.0,1.0
12,context,"[20, 30, 40]",1,False,-1.0,3,8,1.0,1.0
13,context,"[20, 30, 40]",2,False,-1.0,3,8,1.0,1.0
14,context,"[20, 30, 40]",3,False,-1.0,3,8,1.0,1.0
15,context,"[20, 30, 40]",4,False,-1.0,3,8,1.0,1.0
16,context,"[20, 30, 40]",5,False,-1.0,3,8,1.0,1.0
17,context,"[20, 30, 40]",6,False,-1.0,3,8,1.0,1.0
18,hepatitis,"[20, 30, 40]",1,False,-1.0,3,8,0.8787755102040816,0.8583333333333334
19,hepatitis,"[20, 30, 40]",2,False,-1.0,3,8,0.92,0.9146141215106732
20,hepatitis,"[20, 30, 40]",3,False,-1.0,3,8,0.9293877551020407,0.9214490968801312
21,hepatitis,"[20, 30, 40]",4,False,-1.0,3,8,0.909184,0.908682
22,hepatitis,"[20, 30, 40]",5,False,-1.0,3,8,0.8979591836734694,0.8952586206896551
23,hepatitis,"[20, 30, 40]",6,False,-1.0,3,8,0.86,0.8545361247947455
24,pioneer,"[20, 30, 40]",1,False,-1.0,3,8,1.0,1.0
25,pioneer,"[20, 30, 40]",2,False,-1.0,3,8,1.0,1.0
26,pioneer,"[20, 30, 40]",3,False,-1.0,3,8,1.0,1.0
27,pioneer,"[20, 30, 40]",4,False,-1.0,3,8,1.0,1.0
28,pioneer,"[20, 30, 40]",5,False,-1.0,3,8,1.0,1.0
29,pioneer,"[20, 30, 40]",6,False,-1.0,3,8,1.0,1.0
30,skating,"[20, 30, 40]",1,False,-1.0,3,8,0.9716981132075472,0.9998456790123456
31,skating,"[20, 30, 40]",2,False,-1.0,3,8,0.9905660377358492,1.0
32,skating,"[20, 30, 40]",3,False,-1.0,3,8,1.0,1.0
33,skating,"[20, 30, 40]",4,False,-1.0,3,8,1.0,1.0
34,skating,"[20, 30, 40]",5,False,-1.0,3,8,1.0,1.0
35,skating,"[20, 30, 40]",6,False,-1.0,3,8,0.981132075471698,0.9998148148148148
