,dataset,kernel_sizes,depth,use_residual,bottleneck_size,num_classifiers,number_of_filters,test_accuracy,test_AUC
0,auslan2,[16],3,False,32,3,8,0.6000000000000001,0.8770833333333332
1,auslan2,[32],3,False,32,3,8,0.625,0.8780092592592592
2,auslan2,[64],3,False,32,3,8,0.6000000000000001,0.8718364197530865
3,auslan2,[8],3,False,32,3,8,0.6,0.8718364197530865
4,auslan2,"[20, 30, 40]",3,False,32,3,8,0.63,0.8800925925925925
5,blocks,[16],3,False,32,3,8,1.0,1.0
6,blocks,[32],3,False,32,3,8,1.0,1.0
7,blocks,[64],3,False,32,3,8,1.0,1.0
8,blocks,[8],3,False,32,3,8,1.0,1.0
9,blocks,"[20, 30, 40]",3,False,32,3,8,1.0,1.0
10,context,[16],3,False,32,3,8,1.0,1.0
11,context,[32],3,False,32,3,8,1.0,1.0
12,context,[64],3,False,32,3,8,1.0,1.0
13,context,[8],3,False,32,3,8,1.0,1.0
14,context,"[20, 30, 40]",3,False,32,3,8,1.0,1.0
15,hepatitis,[16],3,False,32,3,8,0.8889795918367347,0.8803773198290499
16,hepatitis,[32],3,False,32,3,8,0.901591836734694,0.896809264540661
17,hepatitis,[64],3,False,32,3,8,0.88,0.8660660271368076
18,hepatitis,[8],3,False,32,3,8,0.88,0.8550903119868638
19,hepatitis,"[20, 30, 40]",3,False,32,3,8,0.9096734693877552,0.901021484467565
20,pioneer,[16],3,False,32,3,8,0.99375,1.0
21,pioneer,[32],3,False,32,3,8,0.99375,1.0
22,pioneer,[64],3,False,32,3,8,0.99375,1.0
23,pioneer,[8],3,False,32,3,8,0.99375,1.0
24,pioneer,"[20, 30, 40]",3,False,32,3,8,0.99375,1.0
25,skating,[16],3,False,32,3,8,0.981132075471698,0.998755107897153
26,skating,[32],3,False,32,3,8,0.9905660377358492,0.998755107897153
27,skating,[64],3,False,32,3,8,0.9905660377358492,0.998755107897153
28,skating,[8],3,False,32,3,8,0.981132075471698,0.998755107897153
29,skating,"[20, 30, 40]",3,False,32,3,8,0.9924528301886792,0.9997192411124228
