,dataset,kernel_sizes,depth,use_residual,bottleneck_size,num_classifiers,number_of_filters,test_accuracy,test_AUC
0,auslan2,"[20, 30, 40]",3,False,-1,1,8,0.55,0.8578703703703704
1,auslan2,"[20, 30, 40]",3,False,-1,2,8,0.55,0.8587962962962964
2,auslan2,"[20, 30, 40]",3,False,-1,3,8,0.6749999999999999,0.8811111111111112
3,auslan2,"[20, 30, 40]",3,False,-1,4,8,0.6749999999999999,0.8952314814814816
4,auslan2,"[20, 30, 40]",3,False,-1,5,8,0.6749999999999999,0.9026388888888892
5,auslan2,"[20, 30, 40]",3,False,-1,6,8,0.675,0.8984722222222223
6,auslan2,"[20, 30, 40]",3,False,-1,7,8,0.675,0.9026388888888892
7,auslan2,"[20, 30, 40]",3,False,-1,8,8,0.675,0.9040277777777778
8,auslan2,"[20, 30, 40]",3,False,-1,9,8,0.675,0.9076543209876544
9,auslan2,"[20, 30, 40]",3,False,-1,10,8,0.675,0.9058796296296296
10,auslan2,"[20, 30, 40]",3,False,-1,11,8,0.675,0.9054166666666668
11,auslan2,"[20, 30, 40]",3,False,-1,12,8,0.675,0.902561728395062
12,auslan2,"[20, 30, 40]",3,False,-1,13,8,0.675,0.9010185185185186
13,auslan2,"[20, 30, 40]",3,False,-1,14,8,0.675,0.9024074074074075
14,auslan2,"[20, 30, 40]",3,False,-1,15,8,0.675,0.8980092592592592
15,auslan2,"[20, 30, 40]",3,False,-1,16,8,0.675,0.9076540000000001
16,auslan2,"[20, 30, 40]",3,False,-1,17,8,0.675,0.9076540000000001
17,auslan2,"[20, 30, 40]",3,False,-1,18,8,0.675,0.9076540000000001
18,auslan2,"[20, 30, 40]",3,False,-1,19,8,0.675,0.9076540000000001
19,auslan2,"[20, 30, 40]",3,False,-1,20,8,0.675,0.9076540000000001
20,auslan2,"[20, 30, 40]",3,False,-1,21,8,0.675,0.9076540000000001
21,auslan2,"[20, 30, 40]",3,False,-1,22,8,0.675,0.9076540000000001
22,auslan2,"[20, 30, 40]",3,False,-1,23,8,0.675,0.9076540000000001
23,auslan2,"[20, 30, 40]",3,False,-1,24,8,0.675,0.9076540000000001
24,auslan2,"[20, 30, 40]",3,False,-1,25,8,0.675,0.9076540000000001
25,auslan2,"[20, 30, 40]",3,False,-1,26,8,0.675,0.9076540000000001
26,auslan2,"[20, 30, 40]",3,False,-1,27,8,0.675,0.9076540000000001
27,auslan2,"[20, 30, 40]",3,False,-1,28,8,0.675,0.9076540000000001
28,auslan2,"[20, 30, 40]",3,False,-1,29,8,0.675,0.9076540000000001
29,auslan2,"[20, 30, 40]",3,False,-1,30,8,0.675,0.9076540000000001
30,auslan2,"[20, 30, 40]",3,False,-1,31,8,0.675,0.9076540000000001
31,auslan2,"[20, 30, 40]",3,False,-1,32,8,0.675,0.9076540000000001
32,blocks,"[20, 30, 40]",3,False,-1,1,8,1.0,1.0
33,blocks,"[20, 30, 40]",3,False,-1,2,8,1.0,1.0
34,blocks,"[20, 30, 40]",3,False,-1,3,8,1.0,1.0
35,blocks,"[20, 30, 40]",3,False,-1,4,8,1.0,1.0
36,blocks,"[20, 30, 40]",3,False,-1,5,8,1.0,1.0
37,blocks,"[20, 30, 40]",3,False,-1,6,8,1.0,1.0
38,blocks,"[20, 30, 40]",3,False,-1,7,8,1.0,1.0
39,blocks,"[20, 30, 40]",3,False,-1,8,8,1.0,1.0
40,blocks,"[20, 30, 40]",3,False,-1,9,8,1.0,1.0
41,blocks,"[20, 30, 40]",3,False,-1,10,8,1.0,1.0
42,blocks,"[20, 30, 40]",3,False,-1,11,8,1.0,1.0
43,blocks,"[20, 30, 40]",3,False,-1,12,8,1.0,1.0
44,blocks,"[20, 30, 40]",3,False,-1,13,8,1.0,1.0
45,blocks,"[20, 30, 40]",3,False,-1,14,8,1.0,1.0
46,blocks,"[20, 30, 40]",3,False,-1,15,8,1.0,1.0
47,blocks,"[20, 30, 40]",3,False,-1,16,8,1.0,1.0
48,blocks,"[20, 30, 40]",3,False,-1,17,8,1.0,1.0
49,blocks,"[20, 30, 40]",3,False,-1,18,8,1.0,1.0
50,blocks,"[20, 30, 40]",3,False,-1,19,8,1.0,1.0
51,blocks,"[20, 30, 40]",3,False,-1,20,8,1.0,1.0
52,blocks,"[20, 30, 40]",3,False,-1,21,8,1.0,1.0
53,blocks,"[20, 30, 40]",3,False,-1,22,8,1.0,1.0
54,blocks,"[20, 30, 40]",3,False,-1,23,8,1.0,1.0
55,blocks,"[20, 30, 40]",3,False,-1,24,8,1.0,1.0
56,blocks,"[20, 30, 40]",3,False,-1,25,8,1.0,1.0
57,blocks,"[20, 30, 40]",3,False,-1,26,8,1.0,1.0
58,blocks,"[20, 30, 40]",3,False,-1,27,8,1.0,1.0
59,blocks,"[20, 30, 40]",3,False,-1,28,8,1.0,1.0
60,blocks,"[20, 30, 40]",3,False,-1,29,8,1.0,1.0
61,blocks,"[20, 30, 40]",3,False,-1,30,8,1.0,1.0
62,blocks,"[20, 30, 40]",3,False,-1,31,8,1.0,1.0
63,blocks,"[20, 30, 40]",3,False,-1,32,8,1.0,1.0
64,context,"[20, 30, 40]",3,False,-1,1,8,0.9790000000000001,1.0
65,context,"[20, 30, 40]",3,False,-1,2,8,1.0,1.0
66,context,"[20, 30, 40]",3,False,-1,3,8,1.0,1.0
67,context,"[20, 30, 40]",3,False,-1,4,8,1.0,1.0
68,context,"[20, 30, 40]",3,False,-1,5,8,1.0,1.0
69,context,"[20, 30, 40]",3,False,-1,6,8,1.0,1.0
70,context,"[20, 30, 40]",3,False,-1,7,8,1.0,1.0
71,context,"[20, 30, 40]",3,False,-1,8,8,1.0,1.0
72,context,"[20, 30, 40]",3,False,-1,9,8,1.0,1.0
73,context,"[20, 30, 40]",3,False,-1,10,8,1.0,1.0
74,context,"[20, 30, 40]",3,False,-1,11,8,1.0,1.0
75,context,"[20, 30, 40]",3,False,-1,12,8,1.0,1.0
76,context,"[20, 30, 40]",3,False,-1,13,8,1.0,1.0
77,context,"[20, 30, 40]",3,False,-1,14,8,1.0,1.0
78,context,"[20, 30, 40]",3,False,-1,15,8,1.0,1.0
79,context,"[20, 30, 40]",3,False,-1,16,8,1.0,1.0
80,context,"[20, 30, 40]",3,False,-1,17,8,1.0,1.0
81,context,"[20, 30, 40]",3,False,-1,18,8,1.0,1.0
82,context,"[20, 30, 40]",3,False,-1,19,8,1.0,1.0
83,context,"[20, 30, 40]",3,False,-1,20,8,1.0,1.0
84,context,"[20, 30, 40]",3,False,-1,21,8,1.0,1.0
85,context,"[20, 30, 40]",3,False,-1,22,8,1.0,1.0
86,context,"[20, 30, 40]",3,False,-1,23,8,1.0,1.0
87,context,"[20, 30, 40]",3,False,-1,24,8,1.0,1.0
88,context,"[20, 30, 40]",3,False,-1,25,8,1.0,1.0
89,context,"[20, 30, 40]",3,False,-1,26,8,1.0,1.0
90,context,"[20, 30, 40]",3,False,-1,27,8,1.0,1.0
91,context,"[20, 30, 40]",3,False,-1,28,8,1.0,1.0
92,context,"[20, 30, 40]",3,False,-1,29,8,1.0,1.0
93,context,"[20, 30, 40]",3,False,-1,30,8,1.0,1.0
94,context,"[20, 30, 40]",3,False,-1,31,8,1.0,1.0
95,context,"[20, 30, 40]",3,False,-1,32,8,1.0,1.0
96,hepatitis,"[20, 30, 40]",3,False,-1,1,8,0.88,0.8941695172302281
97,hepatitis,"[20, 30, 40]",3,False,-1,2,8,0.89,0.902183908045977
98,hepatitis,"[20, 30, 40]",3,False,-1,3,8,0.9,0.8988998357963875
99,hepatitis,"[20, 30, 40]",3,False,-1,4,8,0.9,0.8970305909378563
100,hepatitis,"[20, 30, 40]",3,False,-1,5,8,0.9,0.8953284072249591
101,hepatitis,"[20, 30, 40]",3,False,-1,6,8,0.9,0.8964744174117162
102,hepatitis,"[20, 30, 40]",3,False,-1,7,8,0.9,0.9078284072249588
103,hepatitis,"[20, 30, 40]",3,False,-1,8,8,0.9,0.902183908045977
104,hepatitis,"[20, 30, 40]",3,False,-1,9,8,0.9,0.9045443349753696
105,hepatitis,"[20, 30, 40]",3,False,-1,10,8,0.9,0.9045443349753696
106,hepatitis,"[20, 30, 40]",3,False,-1,11,8,0.91,0.9158333333333332
107,hepatitis,"[20, 30, 40]",3,False,-1,12,8,0.91,0.9164490968801312
108,hepatitis,"[20, 30, 40]",3,False,-1,13,8,0.9,0.9045443349753696
109,hepatitis,"[20, 30, 40]",3,False,-1,14,8,0.9,0.8977275502437965
110,hepatitis,"[20, 30, 40]",3,False,-1,15,8,0.9,0.8977275502437965
111,hepatitis,"[20, 30, 40]",3,False,-1,16,8,0.91,0.9063482398989688
112,hepatitis,"[20, 30, 40]",3,False,-1,17,8,0.9,0.8977275502437965
113,hepatitis,"[20, 30, 40]",3,False,-1,18,8,0.91,0.9096323121485584
114,hepatitis,"[20, 30, 40]",3,False,-1,19,8,0.91,0.9096323121485584
115,hepatitis,"[20, 30, 40]",3,False,-1,20,8,0.92,0.9182530018037308
116,hepatitis,"[20, 30, 40]",3,False,-1,21,8,0.92,0.9182530018037308
117,hepatitis,"[20, 30, 40]",3,False,-1,22,8,0.92,0.9182530018037308
118,hepatitis,"[20, 30, 40]",3,False,-1,23,8,0.92,0.9182530018037308
119,hepatitis,"[20, 30, 40]",3,False,-1,24,8,0.92,0.9182530018037308
120,hepatitis,"[20, 30, 40]",3,False,-1,25,8,0.92,0.9182530018037308
121,hepatitis,"[20, 30, 40]",3,False,-1,26,8,0.92,0.9182530000000001
122,hepatitis,"[20, 30, 40]",3,False,-1,27,8,0.92,0.9182530000000001
123,hepatitis,"[20, 30, 40]",3,False,-1,28,8,0.92,0.9182530000000001
124,hepatitis,"[20, 30, 40]",3,False,-1,29,8,0.92,0.9182530000000001
125,hepatitis,"[20, 30, 40]",3,False,-1,30,8,0.92,0.9182530000000001
126,hepatitis,"[20, 30, 40]",3,False,-1,31,8,0.92,0.9182530000000001
127,hepatitis,"[20, 30, 40]",3,False,-1,32,8,0.92,0.9182530000000001
128,pioneer,"[20, 30, 40]",3,False,-1,1,8,0.9375,0.9670000000000001
129,pioneer,"[20, 30, 40]",3,False,-1,2,8,1.0,1.0
130,pioneer,"[20, 30, 40]",3,False,-1,3,8,1.0,1.0
131,pioneer,"[20, 30, 40]",3,False,-1,4,8,1.0,1.0
132,pioneer,"[20, 30, 40]",3,False,-1,5,8,1.0,1.0
133,pioneer,"[20, 30, 40]",3,False,-1,6,8,1.0,1.0
134,pioneer,"[20, 30, 40]",3,False,-1,7,8,1.0,1.0
135,pioneer,"[20, 30, 40]",3,False,-1,8,8,1.0,1.0
136,pioneer,"[20, 30, 40]",3,False,-1,9,8,1.0,1.0
137,pioneer,"[20, 30, 40]",3,False,-1,10,8,1.0,1.0
138,pioneer,"[20, 30, 40]",3,False,-1,11,8,1.0,1.0
139,pioneer,"[20, 30, 40]",3,False,-1,12,8,1.0,1.0
140,pioneer,"[20, 30, 40]",3,False,-1,13,8,1.0,1.0
141,pioneer,"[20, 30, 40]",3,False,-1,14,8,1.0,1.0
142,pioneer,"[20, 30, 40]",3,False,-1,15,8,1.0,1.0
143,pioneer,"[20, 30, 40]",3,False,-1,16,8,1.0,1.0
144,pioneer,"[20, 30, 40]",3,False,-1,17,8,1.0,1.0
145,pioneer,"[20, 30, 40]",3,False,-1,18,8,1.0,1.0
146,pioneer,"[20, 30, 40]",3,False,-1,19,8,1.0,1.0
147,pioneer,"[20, 30, 40]",3,False,-1,20,8,1.0,1.0
148,pioneer,"[20, 30, 40]",3,False,-1,21,8,1.0,1.0
149,pioneer,"[20, 30, 40]",3,False,-1,22,8,1.0,1.0
150,pioneer,"[20, 30, 40]",3,False,-1,23,8,1.0,1.0
151,pioneer,"[20, 30, 40]",3,False,-1,24,8,1.0,1.0
152,pioneer,"[20, 30, 40]",3,False,-1,25,8,1.0,1.0
153,pioneer,"[20, 30, 40]",3,False,-1,26,8,1.0,1.0
154,pioneer,"[20, 30, 40]",3,False,-1,27,8,1.0,1.0
155,pioneer,"[20, 30, 40]",3,False,-1,28,8,1.0,1.0
156,pioneer,"[20, 30, 40]",3,False,-1,29,8,1.0,1.0
157,pioneer,"[20, 30, 40]",3,False,-1,30,8,1.0,1.0
158,pioneer,"[20, 30, 40]",3,False,-1,31,8,1.0,1.0
159,pioneer,"[20, 30, 40]",3,False,-1,32,8,1.0,1.0
160,skating,"[20, 30, 40]",3,False,-1,1,8,0.9811,0.998965
161,skating,"[20, 30, 40]",3,False,-1,2,8,0.9905660377358492,1.0
162,skating,"[20, 30, 40]",3,False,-1,3,8,0.9905660377358492,1.0
163,skating,"[20, 30, 40]",3,False,-1,4,8,0.9905660377358492,1.0
164,skating,"[20, 30, 40]",3,False,-1,5,8,0.9905660377358492,1.0
165,skating,"[20, 30, 40]",3,False,-1,6,8,0.9905660377358492,1.0
166,skating,"[20, 30, 40]",3,False,-1,7,8,0.9905660377358492,1.0
167,skating,"[20, 30, 40]",3,False,-1,8,8,0.9905660377358492,1.0
168,skating,"[20, 30, 40]",3,False,-1,9,8,0.9905660377358492,1.0
169,skating,"[20, 30, 40]",3,False,-1,10,8,0.9905660377358492,1.0
170,skating,"[20, 30, 40]",3,False,-1,11,8,0.9905660377358492,1.0
171,skating,"[20, 30, 40]",3,False,-1,12,8,1.0,1.0
172,skating,"[20, 30, 40]",3,False,-1,13,8,1.0,1.0
173,skating,"[20, 30, 40]",3,False,-1,14,8,1.0,1.0
174,skating,"[20, 30, 40]",3,False,-1,15,8,1.0,1.0
175,skating,"[20, 30, 40]",3,False,-1,16,8,1.0,1.0
176,skating,"[20, 30, 40]",3,False,-1,17,8,1.0,1.0
177,skating,"[20, 30, 40]",3,False,-1,18,8,1.0,1.0
178,skating,"[20, 30, 40]",3,False,-1,19,8,1.0,1.0
179,skating,"[20, 30, 40]",3,False,-1,20,8,1.0,1.0
180,skating,"[20, 30, 40]",3,False,-1,21,8,1.0,1.0
181,skating,"[20, 30, 40]",3,False,-1,22,8,1.0,1.0
182,skating,"[20, 30, 40]",3,False,-1,23,8,1.0,1.0
183,skating,"[20, 30, 40]",3,False,-1,24,8,1.0,1.0
184,skating,"[20, 30, 40]",3,False,-1,25,8,1.0,1.0
185,skating,"[20, 30, 40]",3,False,-1,26,8,1.0,1.0
186,skating,"[20, 30, 40]",3,False,-1,27,8,1.0,1.0
187,skating,"[20, 30, 40]",3,False,-1,28,8,1.0,1.0
188,skating,"[20, 30, 40]",3,False,-1,29,8,1.0,1.0
189,skating,"[20, 30, 40]",3,False,-1,30,8,1.0,1.0
190,skating,"[20, 30, 40]",3,False,-1,31,8,1.0,1.0
191,skating,"[20, 30, 40]",3,False,-1,32,8,1.0,1.0
