,dataset,kernel_sizes,depth,use_residual,bottleneck_size,num_classifiers,number_of_filters,test_accuracy,test_AUC
0,auslan2,"[20, 30, 40]",3,False,32,3,4,0.6,0.8671296296296296
1,auslan2,"[20, 30, 40]",3,False,32,3,8,0.63,0.8800925925925925
2,auslan2,"[20, 30, 40]",3,False,32,3,16,0.625,0.8780092592592592
3,auslan2,"[20, 30, 40]",3,False,32,3,32,0.6,0.8659722222222221
4,blocks,"[20, 30, 40]",3,False,32,3,4,1.0,1.0
5,blocks,"[20, 30, 40]",3,False,32,3,8,1.0,1.0
6,blocks,"[20, 30, 40]",3,False,32,3,16,1.0,1.0
7,blocks,"[20, 30, 40]",3,False,32,3,32,1.0,1.0
8,context,"[20, 30, 40]",3,False,32,3,4,1.0,1.0
9,context,"[20, 30, 40]",3,False,32,3,8,1.0,1.0
10,context,"[20, 30, 40]",3,False,32,3,16,1.0,1.0
11,context,"[20, 30, 40]",3,False,32,3,32,1.0,1.0
12,hepatitis,"[20, 30, 40]",3,False,32,3,4,0.86,0.8589696223316914
13,hepatitis,"[20, 30, 40]",3,False,32,3,8,0.9096734693877552,0.901021484467565
14,hepatitis,"[20, 30, 40]",3,False,32,3,16,0.901591836734694,0.896809264540661
15,hepatitis,"[20, 30, 40]",3,False,32,3,32,0.9,0.88752052545156
16,pioneer,"[20, 30, 40]",3,False,32,3,4,0.99375,1.0
17,pioneer,"[20, 30, 40]",3,False,32,3,8,0.99375,1.0
18,pioneer,"[20, 30, 40]",3,False,32,3,16,0.99375,1.0
19,pioneer,"[20, 30, 40]",3,False,32,3,32,0.99375,1.0
20,skating,"[20, 30, 40]",3,False,32,3,4,0.981132075471698,0.998755107897153
21,skating,"[20, 30, 40]",3,False,32,3,8,0.9924528301886792,0.9997192411124228
22,skating,"[20, 30, 40]",3,False,32,3,16,0.9924528301886792,0.9998148148148148
23,skating,"[20, 30, 40]",3,False,32,3,32,0.981132075471698,0.9991760275919368
