,dataset,kernel_sizes,depth,use_residual,bottleneck_size,num_classifiers,number_of_filters,test_accuracy,test_AUC
0,auslan2,"[20, 30, 40]",3,False,-1.0,3,8,0.675,0.9328703703703703
1,auslan2,"[20, 30, 40]",3,True,-1.0,3,8,0.65,0.8986879999999999
2,blocks,"[20, 30, 40]",3,False,-1.0,3,8,1.0,1.0
3,blocks,"[20, 30, 40]",3,True,-1.0,3,8,1.0,1.0
4,context,"[20, 30, 40]",3,False,-1.0,3,8,1.0,1.0
5,context,"[20, 30, 40]",3,True,-1.0,3,8,1.0,1.0
6,hepatitis,"[20, 30, 40]",3,False,-1.0,3,8,0.9293877551020407,0.9214490968801312
7,hepatitis,"[20, 30, 40]",3,True,-1.0,3,8,0.8989799999999999,0.8982760000000001
8,pioneer,"[20, 30, 40]",3,False,-1.0,3,8,1.0,1.0
9,pioneer,"[20, 30, 40]",3,True,-1.0,3,8,1.0,1.0
10,skating,"[20, 30, 40]",3,False,-1.0,3,8,1.0,1.0
11,skating,"[20, 30, 40]",3,True,-1.0,3,8,1.0,1.0
