,kernel_sizes,depth,use_residual,bottleneck_size,num_classifiers,number_of_filters,dataset,test_accuracy
0,"[20, 30, 40]",3,False,-1.0,3,8,auslan2,0.63
1,"[20, 30, 40]",3,False,-1.0,3,8,blocks,1.0
2,"[20, 30, 40]",3,False,-1.0,3,8,context,1.0
3,"[20, 30, 40]",3,False,-1.0,3,8,hepatitis,0.9156734693877552
4,"[20, 30, 40]",3,False,-1.0,3,8,pioneer,1.0
5,"[20, 30, 40]",3,False,-1.0,3,8,skating,0.9924528301886792
6,"[20, 30, 40]",3,False,32.0,3,8,auslan2,0.63
7,"[20, 30, 40]",3,False,32.0,3,8,blocks,1.0
8,"[20, 30, 40]",3,False,32.0,3,8,context,1.0
9,"[20, 30, 40]",3,False,32.0,3,8,hepatitis,0.9096734693877552
10,"[20, 30, 40]",3,False,32.0,3,8,pioneer,0.99375
11,"[20, 30, 40]",3,False,32.0,3,8,skating,0.9924528301886792
12,"[20, 30, 40]",2,False,-1.0,3,8,auslan2,0.5887500000000001
13,"[20, 30, 40]",2,False,-1.0,3,8,blocks,1.0
14,"[20, 30, 40]",2,False,-1.0,3,8,context,1.0
15,"[20, 30, 40]",2,False,-1.0,3,8,hepatitis,0.919795918367347
16,"[20, 30, 40]",2,False,-1.0,3,8,pioneer,1.0
17,"[20, 30, 40]",2,False,-1.0,3,8,skating,0.9849056603773584
18,"[20, 30, 40]",2,False,32.0,3,8,auslan2,0.5887500000000001
19,"[20, 30, 40]",2,False,32.0,3,8,blocks,1.0
20,"[20, 30, 40]",2,False,32.0,3,8,context,1.0
21,"[20, 30, 40]",2,False,32.0,3,8,hepatitis,0.9097551020408164
22,"[20, 30, 40]",2,False,32.0,3,8,pioneer,0.99375
23,"[20, 30, 40]",2,False,32.0,3,8,skating,0.9886792452830188
24,"[20, 30, 40]",2,True,-1.0,3,8,auslan2,0.5775000000000001
25,"[20, 30, 40]",2,True,-1.0,3,8,blocks,1.0
26,"[20, 30, 40]",2,True,-1.0,3,8,context,1.0
27,"[20, 30, 40]",2,True,-1.0,3,8,hepatitis,0.901591836734694
28,"[20, 30, 40]",2,True,-1.0,3,8,pioneer,0.99375
29,"[20, 30, 40]",2,True,-1.0,3,8,skating,0.9867924528301888
