,kernel_sizes,depth,use_residual,bottleneck_size,num_classifiers,number_of_filters,dataset,test_AUC
0,"[20, 30, 40]",3,False,-1.0,3,8,auslan2,0.9328703703703703
1,"[20, 30, 40]",3,False,-1.0,3,8,blocks,1.0
2,"[20, 30, 40]",3,False,-1.0,3,8,context,1.0
3,"[20, 30, 40]",3,False,-1.0,3,8,hepatitis,0.9214490968801312
4,"[20, 30, 40]",3,False,-1.0,3,8,pioneer,1.0
5,"[20, 30, 40]",3,False,-1.0,3,8,skating,1.0
6,"[20, 30, 40]",3,False,-1.0,2,8,auslan2,0.944212962962963
7,"[20, 30, 40]",3,False,-1.0,2,8,blocks,1.0
8,"[20, 30, 40]",3,False,-1.0,2,8,context,1.0
9,"[20, 30, 40]",3,False,-1.0,2,8,hepatitis,0.8973727422003284
10,"[20, 30, 40]",3,False,-1.0,2,8,pioneer,1.0
11,"[20, 30, 40]",3,False,-1.0,2,8,skating,1.0
12,"[20, 30, 40]",2,False,-1.0,3,8,auslan2,0.9065586419753086
13,"[20, 30, 40]",2,False,-1.0,3,8,blocks,1.0
14,"[20, 30, 40]",2,False,-1.0,3,8,context,1.0
15,"[20, 30, 40]",2,False,-1.0,3,8,hepatitis,0.9146141215106732
16,"[20, 30, 40]",2,False,-1.0,3,8,pioneer,1.0
17,"[20, 30, 40]",2,False,-1.0,3,8,skating,1.0
18,"[20, 30, 40]",3,False,-1.0,4,8,auslan2,0.9261574074074076
19,"[20, 30, 40]",3,False,-1.0,4,8,blocks,1.0
20,"[20, 30, 40]",3,False,-1.0,4,8,context,1.0
21,"[20, 30, 40]",3,False,-1.0,4,8,hepatitis,0.8908456486042693
22,"[20, 30, 40]",3,False,-1.0,4,8,pioneer,1.0
23,"[20, 30, 40]",3,False,-1.0,4,8,skating,1.0
24,"[20, 30, 40]",2,False,-1.0,2,8,auslan2,0.9118055555555556
25,"[20, 30, 40]",2,False,-1.0,2,8,blocks,1.0
26,"[20, 30, 40]",2,False,-1.0,2,8,context,1.0
27,"[20, 30, 40]",2,False,-1.0,2,8,hepatitis,0.8961822660098522
28,"[20, 30, 40]",2,False,-1.0,2,8,pioneer,1.0
29,"[20, 30, 40]",2,False,-1.0,2,8,skating,1.0
