,dataset_name,accuracy,AUC,classifier_name
0,auslan2,0.32,0.769,SPAM
1,blocks,0.138,0.51,SPAM
2,context,0.888,0.968,SPAM
3,hepatitis,0.697,0.757,SPAM
4,pioneer,0.773,0.734,SPAM
5,skating,0.813,0.955,SPAM
6,auslan2,0.305,0.585,STATIC
7,blocks,0.933,0.899,STATIC
8,context,0.954,0.994,STATIC
9,hepatitis,0.663,0.695,STATIC
10,pioneer,0.813,0.892,STATIC
11,skating,0.674,0.914,STATIC
12,auslan2,0.46,0.748,MEDOID
13,blocks,1.0,0.9,MEDOID
14,context,0.983,1.0,MEDOID
15,hepatitis,0.765,0.836,MEDOID
16,pioneer,0.9,0.964,MEDOID
17,skating,0.919,0.977,MEDOID
18,auslan2,0.4,,IBSM
19,blocks,1.0,,IBSM
20,context,0.971,,IBSM
21,hepatitis,0.765,,IBSM
22,pioneer,0.956,,IBSM
23,skating,0.983,,IBSM
24,auslan2,0.505,0.631,STIFE
25,blocks,1.0,1.0,STIFE
26,context,0.992,1.0,STIFE
27,hepatitis,0.803,0.862,STIFE
28,pioneer,0.981,1.0,STIFE
29,skating,0.966,0.997,STIFE
30,auslan2,0.485,0.686,SMILE
31,blocks,1.0,1.0,SMILE
32,context,0.988,1.0,SMILE
33,hepatitis,0.831,0.89,SMILE
34,pioneer,0.988,1.0,SMILE
35,skating,0.977,0.99,SMILE
36,auslan2,0.325,0.763,Z-Embedding
37,blocks,1.0,1.0,Z-Embedding
38,context,0.958,0.998,Z-Embedding
39,hepatitis,0.827,0.812,Z-Embedding
40,pioneer,0.981,0.997,Z-Embedding
41,skating,0.91,0.984,Z-Embedding
